raw,attention,meditation,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
116,53,60,782636,24330,26518,48009,17183,18371,5252,150755
4,50,47,938042,43998,2765,8303,10061,4719,1970,24970
54,53,43,259647,273954,36050,24404,24879,20571,11211,93737
-13,60,43,156756,99245,11464,3213,30613,9274,4072,127710
-59,51,35,98638,62731,44801,11532,18254,10022,4434,106248
54,50,34,167649,118288,14185,14236,46963,12384,3071,90884
58,61,41,82669,57422,21983,9888,6764,15343,3706,118078
25,69,57,2007253,48184,12202,29117,29653,15323,5147,107605
50,74,66,443246,25254,71240,38052,48684,16237,3556,116906
44,69,78,172369,92691,16443,41841,18237,9181,5522,125492
-71,75,67,33701,35374,1223,7539,8325,12355,2969,125496
18,67,64,202398,45630,2924,23187,20537,7235,7534,142400
-72,70,54,21703,25880,4210,16517,13160,6253,3199,125136
-51,70,60,97029,96250,78857,11241,11146,12393,3615,136260
-325,48,75,259182,124432,33142,69072,22457,6885,1625,152370
39,47,78,638643,16950,5618,7225,6614,2603,2193,23305
29,29,81,165615,6385,2146,2577,521,316,328,6979
-101,29,78,56779,114045,73373,4718,10878,12854,5982,110872
220,38,74,102778,136265,48066,17297,18408,12242,9825,152182
-23,29,54,1590356,418131,21473,27289,26574,18650,8416,108236
138,54,47,62999,37072,12042,9065,14763,20163,3889,106295
-27,66,38,377375,65901,10155,13931,6711,19506,8505,103748
-117,70,23,1194804,257068,17532,11842,8324,26566,11107,123113
-156,84,40,1127724,35927,22977,4033,16468,9619,10162,23864
162,78,47,1952078,22777,7405,31156,28990,10799,3548,19096
34,80,50,607269,16130,1412,10671,13133,6845,9651,29674
12,83,66,846859,79927,41009,10213,11123,19536,2000,129985
231,93,56,39485,43324,3026,11121,9458,23623,8278,108570
173,96,50,774604,115794,23296,28550,6016,37043,3377,88764
-147,91,56,477940,82789,23594,72760,39451,26776,29199,101141
93,96,56,101116,6695,5272,1820,4820,3134,4334,5525
-43,90,75,52665,4259,8970,2111,3761,3093,2082,4819
-86,94,70,702056,94155,47557,19674,33380,32662,9262,86461
-20,93,63,1588150,164234,44993,7132,26417,38981,10217,135600
24,91,48,574258,113460,34165,11341,43812,28449,6297,81408
135,84,38,268627,167438,13344,14964,18502,29098,8043,89085
100,81,35,2810571,70169,29836,9971,32761,18136,5772,69345
53,81,44,1246485,75691,46758,11648,5385,26143,5313,102184
56,75,40,276773,83105,14354,2509,19978,8517,5604,115170
-81,63,35,1087275,249496,11163,12399,5971,14064,15305,135169
67,75,30,341353,67566,14643,20139,11128,51641,13026,100182
-222,63,29,371963,66135,29049,14598,17627,7131,5046,96804
-118,60,29,1347073,174842,7496,24421,18386,12394,4096,16796
-5,75,40,37232,22396,3693,3033,9726,6577,5519,23192
-98,64,43,50549,34223,15164,8680,15270,11031,5204,103783
108,57,35,800507,226682,22715,32157,40941,9861,6596,88881
18,63,37,285243,36453,3815,4649,3158,4416,1540,20498
100,64,38,341925,27797,871,8773,12289,10509,2744,25956
59,61,35,452249,53896,14051,10102,15933,10102,2441,119348
32,70,50,29094,37902,3912,29690,7451,6009,5104,102205
3,53,34,564031,284098,3493,5933,4047,5238,2293,113348
1,43,53,9763,17608,34314,3444,6222,5664,5333,129002
-58,47,57,228848,55438,8407,22269,5113,15098,1239,96440
41,51,47,20419,81756,10399,7599,8673,12757,3383,119237
-19,61,67,53880,112950,5668,34990,19160,6928,6321,116623
85,51,63,489488,62036,21510,40509,17899,5658,5595,130081
-60,44,51,935894,78069,2018,9895,2169,7725,399,10828
40,38,48,26308,115074,12265,5666,6534,9812,2610,73872
11,41,57,747018,62364,51060,27771,33905,9081,2851,77156
58,43,50,34934,38582,12163,1244,2797,2550,751,18760
66,43,57,1252624,148647,28970,22777,10061,18147,5137,42330
60,44,48,7521,60641,1371,2396,4031,5317,6104,72725
4,41,44,802579,118733,46699,36526,23732,8473,1831,59085
-265,44,48,2714320,208057,83817,28494,27626,20891,3902,44318
28,41,51,191712,21279,1877,11954,5413,2060,629,11388
-250,35,77,473113,83542,42145,22013,11710,7292,2863,38354
103,34,81,158236,54257,61067,3476,8409,3849,2436,48022
422,29,57,716477,188570,3015,4727,11810,9695,1939,6716
5,24,57,754679,47610,18042,6578,6123,2653,759,2370
